Respostas – Filme Enigma (2001)

1.  c)  Segunda Guerra Mundial
2.  b)  Bletchley Park
3.  b)  Tom Jericho
4.  a)  Hester Wallace
5.  d)  Enigma
6.  b)  Decifrar códigos militares alemães
7.  c)  Matemática e criptografia
8.  b)  Suspense e drama histórico
9.  a)  Hester Wallace
10. b)  Guerra naval no Atlântico
11. d)  Reino Unido
12. b)  Acelerar o fim da guerra
13. b)  Sigilo absoluto
14. c)  2001
15. b)  Robert Harris
16. c)  Alemanha Nazista
17. b)  Matemática
18. a)  Estratégias militares
19. b)  Mistério e tensão
20. c)  Inteligência, espionagem e guerra
